TrackerRow,Skill,Perk,Priority,CurrentTestStatus,Reasons,TestCases,TestScenario,TrackerLink
101,Beast Mastery,Crushing Slam I,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A101:O101
106,Beast Mastery,Crushing Slam II,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A106:O106
111,Beast Mastery,Ice Breath III,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A111:O111
112,Beast Mastery,Crushing Slam III,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A112:O112
309,Force,Creeping Terror I,Direct change,Pass,Creeping Terror reduction budget; Periodic damage and mitigation,"C2, C4","C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A309:O309
315,Force,Creeping Terror II,Direct change,Pass,Creeping Terror reduction budget; Periodic damage and mitigation,"C2, C4","C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A315:O315
328,Force,Creeping Terror III,Direct change,Pass,Creeping Terror reduction budget; Periodic damage and mitigation,"C2, C4","C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A328:O328
346,Force,Reflective Barrier,Direct change,Pass,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A346:O346
412,Heavy Vibroblade,Defensive Harmony,Direct change,Retest,Actual-healing requirement; Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A412:O412
434,Heavy Vibroblade,Soul Amplification,Direct change,Retest,Actual-healing requirement; Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A434:O434
